,0
10,"Joining KAYALI's ranks of intoxicatingly addictive range of scents, Yum Pistachio Gelato | 33 Eau de Parfum Intense is a sweet tooth lover's dream fragrance.

This opens with mouthwatering facets of hazelnut and pistachio blended with rum for a tantalising first impression. In the heart, beautiful white peony creates a rosy, honey-like effect while muguet helps maintain the luxurious balance of sweetness, freshness and sophistication. As the dry down continues, enjoy a delicious overdose of whipped cream, fluffy marshmallow and creamy sandalwood for an insanely delectable gourmand fragrance.
—————————————————————————— 
HOW TO USE

Spritz a couple of times on your hair or pulse points (or both) to leave an addictive trail of fragrance throughout the day.

Spray your fragrance into your hairbrush before brushing your hair.

Spray the scent on your hair towel before drying your hair, the result is a subtle hint of the fragrance that will follow you around all day.
—————————————————————————— hudabeauty huda hudabeautyshop alyakattan monakattan kayali wishfulskin kirstylewispr janeenindubai sukixo maveer123 trader__jo———————————————————————————
#hudabeauty #monakattan #dejavu #coconuts #eyes #skincareproducts #makeupjunkie #hudabeauty #makeupideas #eyebrows #mascara #beautycare #makeupoftheday #citrus #amber #serum #crueltyfree #selfcare #elixer #bhfyp #photography #vegan #vanilla #musk #perfume #bottle #ootd #kayali"
11,"Her hair and makeup is better than anyone at the Oscars! Artfully applied eye, blush, bronzer…if she didn’t paint her mug, those courtroom lights would make her look like an autopsy was being performed at Park City Morgue. And the subtle waves - perfection. And the face-framing chunks…I’m weak in the knees. Cojo reporting for Court TV xo #gwynethpaltrow #makeup #beauty #skincare #sephora #balyage #hair #haircolor #goop #maisoncojo #hungjury"
12,"Swipe 👉
Link in bio beautiesthreads for app!

cr: poobaree glowy

#bronzer #makeupideas #highlighter #undiscovered_muas #undiscoveredmua
#colourpop #primer #makeup #makeupvideos #makeuptutorial #makeuptutorials #makeupideas #makeupinspo #simplemakeup #makeupgiveaway #wakeupandmakeup #makeupforbarbies #makelovers #eyelook #eyelooks #hudabeauty #lipgloss #creativemakeup #abh"
13,"Nude makeup for sulfath_laila
Clicks ra_ph_ae_ls
Makeup& styling aabhaa_by_raphaels
Cam asst surpreyes_media
Special Thanks ahana.vinesh

#makeupartist #makeup #mua #makeuptutorial #beauty #makeuplover #makeupaddict #makeuplooks #makeupideas #fashion #love #photography #makeupoftheday #bridalmakeup #beautiful #wedding #model #makeuplook #instagood #instagram #hudabeauty #art #like #lashes #wakeupandmakeup #follow #anastasiabeverlyhills #skincare #makeupwedding #eyeshadow"
14,Beautiful Gilla 💕 can you see different lights ?one is natural light and one is with my ring light 💡 which one do you like ? #glittermakeup #makeup #glitter #makeupartist #mua #makeuptutorial #glittereyeshadow #makeuplover #beauty #makeuplooks #makeupideas #makeupaddict #anastasiabeverlyhills #muas #undiscovered #eyeshadow #wakeupandmakeup #makeupoftheday #eyemakeup #glammakeup #makeupjunkie #cutcrease #explorepage #hudabeauty #nyxcosmetics #makeuplook #morphe #maccosmetics #lashes #glitternails
15,"Keep calm and sparkles on ✨✨

bperfectcosmetics  staceymariemua  ekin-su foundation shade 02 and bronzing, highlighter palette, chroma foundation, antidot palette 

anastasiabeverlyhills  freeze brows gel, dark brown pommade, and lip gloss

tartecosmetics  concealer shade fair
lenseflix  lenses shade grey

hudabeautyshop  hudabeauty  setting powder cupcake, mascara and liner 

meriumpervaizcosmetics  merium.pervaiz brushes and blender and im loving it ❤️

sheglam_official  lip pencil 
tet_nails  nails
beautycafe.pk  flakes pigments shade amrus

#duochromeeyeshadow #wakeupandmakeup  #bperfectcosmetics  #anastasiabeverlyhills  #abh  #hudabeauty  #tartecosmetics  #newpost #instadaily #instagood #explorepage #viral #trending #makeup #makeupartist  #photoshop  #picoftheday"
16,"“ 𝕿𝖊𝖑𝖑 𝖒𝖊 𝖆𝖇𝖔𝖚𝖙 𝖎𝖙, 𝖘𝖙𝖚𝖉 “ 🖤

This gave me “Grease” vibes 😽

benefitcosmetics Powmade shade 5 & 24hr brow setter

hudabeauty Warm Matte obsessions Palette 

nyxcosmetics Vivid Matte liner in black

thelashbarla lashes style Sophia

unicoeye_official Contacts in New York

colourpopcosmetics Blush in shade Flamingo

hudabeauty Creamy Kohl pencil liner in Very Brown (as lip liner)

fbcounty_cosmetics Matte liquid lipstick shade Firme 

traphoops Earings

#hudabeauty #benefitbrows #nyxcosmetics #liner #lashes #lipstick #mattelipstick #inspofinds #inspostyle #aesthetic #pinterestinspired #pinterestaesthetic #styleinspo #rosetattoo #shouldertattoo #atlastattoo #pdx #portlandoregon #hoopearrings #leatherpants #platformshoes #makeupideas #maquillaje #tatuajesfemeninos #hairstyles #layeredhaircut"
17,"חנה המהממת המון מזל טוב לחתונת בתך

‏‎‏‎‏‎‏‎‏
‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏Hair & makeup - orenrefael 
‏‎‏
‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏pic- orenrefael  lazorgan ctilburymakeup ysl chanel.beauty chanelofficial diorbeauty inbeautmag tatti_lashes #foryou iconic.london 
‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏‎‏#hairmakeupbyorenrefael#brows#highlight#skin#contour#glam#blush#foundation#serum#womanslook#maccosmetics#iconic#lashes#hairstyles ‎ #foryou #reels"
18,"Some of your favorite scents now come in a picture-perfect value set, CHAPTERS! Featuring 7.5ml sizes of MYTH, SALT, SUN FRUIT, and VANILLA MILK, this gift set has everything you could ever want from our fragrance house with a value price that says YES, PLEASE! 

Pick up CHAPTERS now on ellisbrooklyn.com.

#ellisbrooklyn #sephora #sephorasquad #ultabeauty #ulta #ultahaul #sephorahaul #cleanbeauty #sustainable #greenbeauty #crueltyfree #nontoxic #perfume #fragrance #fragranceoftheday #finefragrance #SOTD #Scentgasm #Brooklyn"
19,A retro ruby woo girl has transformed to a locked kiss ink ruby true girl 😌😍. Last night mac__nificent_trio Mac Masterclass. It was insanely awesome. The trio was brilliant😍🥰😘🥹💋💄. #maccosmetics #macfoundation #mackissprooflipstick💄💋 #maclockedkissink
20,"💖 Pink for one of our lovely friend's baby shower 💖

Products that you can purchase from hello_pretty_makeup I've marked these with 💋
For money off, use code CKING10 😘 

Products used:

Face:
tartecosmetics Shape Tape Moisturiser
plouise_makeup_academy Hydrate The Heartbreak Hydrating Primer
plouise_makeup_academy Block O'clock Pore Perfecting Primer
maccosmetics maccosmeticsuk Studio Fix Fluid Foundation shade NW10
tartecosmetics Shape Tape Contour Concealer shade 8B Porcelain Beige 💋 
madebymitchell Blursh Bronzed shade Hollo There
elfcosmeticsuk Bronzer Palette 💋
madebymitchell Blursh shade Sweet Cheeks
madebymitchell Blursh Dreams shade Strawberry Cream
maccosmetics maccosmeticsuk maccosmeticsnordics Extra Dimension Blush shade Into The Pink
maccosmetics maccosmeticsuk maccosmeticsnordics Mineralize Blush shade Dainty 
maccosmetics maccosmeticsuk maccosmeticsnordics Mineralize Skin Finish Natural shade Light Plus 
ofracosmetics Highlighter shade Start Inspired 
maccosmetics maccosmeticsuk Fix Plus
urbandecaycosmetics urbandecayuki All Nighter Makeup Setting Spray 

Brows:
zaralenacosmetics Transfer Brows style Arched Enemy in Charcoal 

Eyes:
plouise_makeup_academy Cosmetic Base Rumour 01 
beautybaycom Berries Palette 
madebymitchell All Smudge No Budge Eye Pencil shade Wink Wink and 
avon_uk mark.makeupuk gel pencil eyeliner in Blackout
hello_pretty_makeup Waterproof Adhesive Liner shade purple 💋 
eylureofficial Dramatic Lashes Number 126

Lips:
maccosmetics maccosmeticsuk Matte Lipstick shade HoneyLove 

#helloprettycosmetics #zaralenacosmetics  #madebymitchell #madebymitchellblursh #plouise_makeup_academy #beautybay #bbdaretoshare  #nofilter #maccosmetics #macthemoment"
21,"Sunday funday!! hollybarkerofficial ❤️‍🔥 makeup by me lovesickcosmetics hair by christifuhhlee photo by leelhgfx_fitness ⁣
.⁣

#LoveSickCosmetics 
.⁣
.⁣
.⁣
.⁣
#anastasiabeverlyhills #cosmetics #fashion #fashionable #fashionaddict #fashionblog #fashiondaily ##fashiongram #hudabeauty #instamakeup #lashes #makeupaddict #makeupartist"
22,"Make up

#DasBeauty #GlamCrewSa #Kryolan #MakeupRevolution #MacCosmetics #Yardley #HudaBeauty #NYXCosmetics #Revlon #LAGirl #WetnWild #Essence #FreedomMakeUp #MakeupRevolution #ScarlettHillBeauty #MakeUp #MakeUpOnFleek #HighlightOnFleek #MakeUpIdeas #MakeUpArtist #MakeUpGoals #SouthAfricanMakeUp #MakeUpSouthAfrica #MakeUpShmakeUp #WingedLiner #Pietermaritzburg #SouthAfrica #SouthAfricanGirls #PlayBeautifully"
23,"Throwing a little shade!

#makeupartist #makeup #mua #makeuptutorial #beauty #makeuplover #makeupaddict #makeuplooks #makeupideas #fashion #love #photography #makeupoftheday #beautiful #model #makeuplook #instagood #instagram #hudabeauty #art #like #lashes #wakeupandmakeup #follow #skincare #eyeshadow"
24,"Uni nights you guys 🌷

#shardauniversity #party #outfits #ootd #explorepage #reelsinstagram #trending #trendingreels #bollywoodhot #bollywood #kdrama #love #friend #netflix #delhi #collegelife #university #charteredaccountant #acca #finance #moneymindset #moneyminded #blackpink #jimin #lisa #maccosmetics #hudabeauty #myntra #urbanic"
25,"روح قلبي القمر الي طلع عيني 😂♥️
لوك من غير عدسات وزي قمر اهوا 👌♥️
#الهاي_سواريه🔥🔥♥️
——————————————

✨ Make up  by me : 
asmaahosny_makeup_artist 👰❣ 
#like & #Comment
👇👇👇👇👇
Asmaa💄 Hosni💄Make-upArtist👑
للحجز والاستفسارات عن العروض والخصومات الخاصه ببكدج (الزفاف_ الخطوبه_السواريه) يرجي ارسال رساله ع الصفحه ⁦♥️⁩📩

#Professional #bride #bridal #wedding #prewedding #makeup #flawless #beautiful_eyes #nophotoshop #beforeandafter #transformation #makeover #makeup_egypt #inglot #makeup_forever #dior #mac #bobbibrown #sephora #chanel #thestudio #beauty #salon #egypt
#Kiko #Asmaa_hosny"
26,"Glam makeup 💎

#bridalhair #bridalmakeup #bridalhairstylist #bridalmakeupartist #chairstylist #dcmakeupartist #dmvhairstylist #dmvmakeupartist #besthairstylist #wakeupandmakeup #anastasiabeverlyhills #marcjacobsbeauty #makeupforever #sephora #bride #glamour #smallbusiness #beautyobsessed #flawlessdolls #flawlessmakeup #flawlessface #eyemakeup"
27,"Always love working with warm tones 🔥 they look unreal on Zebe! Look inspired by jennseren

Eyes -
plouise_makeup_academy rumour base & secret sinner palette shade climax 
bperfectcosmetics carnival III palette shade chilli pepper 
juviasplace eyeshadow palettes the tribe for shade Oromo & the Zulu for the yellow & orange shades 
anastasiabeverlyhills liquid liner
tatti_lashes servin’ sass lashes 

Contact me via text 0432093448 to schedule your next appointment! 🤎

Discount codes: 
- Ronia makeup house - NICOLE10 for 10% off
- Morphe GLAMFAM838 

#redlandbaymakeupartist #redlandbaymua #brisbanemakeupartist #makeupartist #brisbanemua #australianmakeupartist #makeupbynicolejane #makeup #muabrisbane #goldcoastmakeupartist #goldcoastmua #formalmakeup #anastasiabeverlyhills #makeupinspo #makeupartistsworldwide #heavyglam #beautyinspiration  #instamua #blendwithtrend #makeuplessons #amazingmakeupart #mmmmitchell #beforeandafter #browgoals #makeuplooks #softglam #cutcrease #skingoals #slavetobeauty #morpheglamfam"
28,"𝘸𝘢𝘯𝘵𝘦𝘥 𝘵𝘰 𝘥𝘰 𝘴𝘰𝘮𝘦𝘵𝘩𝘪𝘯𝘨 𝘤𝘶𝘵𝘦 👽

𝗙𝗮𝗰𝗲: 
fentybeauty Pro filt’r soft matte foundation
nyxcosmetics nyxcosmetics_hrvatska Can’t stop won’t stop concealer
madebymitchell Blursh bronzed
hudabeauty Easy bake powder
patricktabeauty Blush - She’s a doll
diorbeauty Backstage glow palette

𝗘𝘆𝗲𝘀: 
plouise_makeup_academy Eyeshadow base
jeffreestarcosmetics Cremated 
jeffreestarcosmetics Blood money palette
nyxcosmetics nyxcosmetics_hrvatska Epic ink liner

𝗕𝗿𝗼𝘄𝘀: 
nyxcosmetics nyxcosmetics_hrvatska Lift & snatch pencil
anastasiabeverlyhills Dipbrow pomade

𝗟𝗶𝗽𝘀:
nyxcosmetics nyxcosmetics_hrvatska Lip pencil - Cold brew
KKW BEAUTY lipstick
fentybeauty Gloss bomb - Cold Heart’d

#makeup #makeupartist #makeupartistcroatia #makeupdubrovnik #mua #fentybeauty #anastasiabeverlyhills #nyxcosmeticshrvatska #hudabeauty #madebymitchell #jeffreestarcosmetics"
29,"R a s h p a l | She was looking absolutely gorgeous. It was her first time getting makeup done professionally after her 29 yrs of marriage. She said I really like your work PARVEEN and everyone was asking me who did your makeup. Thank you so much for trusting me 🙏🏻it means alot to me 😍

HMUA: pbmuastudio 
Videography: balerinafilms aperinastudios 
Lashes: pbmuastudio 
Wardrobe: houseofsuraabee 
Planning: apanacheaffair 
Photography: pbmuastudio 
Henna: johalhenna 
Jewelry: nanakjewellerspatiala 
Clutch: sabyasachiofficial 
vogueindia voguemagazine 
_______________________________________________

For business inquiries & availability please email 📧 me @ pbmuastudio@gmail.com
————————————————————————————-
Bridal & Non-bridal calendar open for 2021-2023
_____________________________________________________________

#indianbridesworldwide #thebridesofindia #hindubrides #indianweddingbuzz #indianmakeup #punjabiwedding #bridalparty #wedmegood #editorialmakeup #hudabeauty #pbmuastudio #dressyourface #wedmegood #makeuptransformation #bakersfieldmakeupartist #visaliamakeupartist #clovismakeupartist #selmamakeupartist 
 #turlockmakeupartist #kermanmakeupartist  #bridalmakeup #southindianweddings #usamakeup #promakeupartist #fresnomakeupartist #punjabibrides #maderamakeupartist"
30,"Follow Now 👉🏽 thechaosprincess 
. 
. 
. 
. 
. 
. 
. 

#beautyqueen #beautycare #beautyproducts #beautyaddicts #beautytips #beautysecret #beautyshop #makeupoftheday #makeupforever #makeupbyme #makeupgeeok #makeupfantastic #mackupartist #smokeyeyes #contouring #makeupblog #maccosmetics #makeupcourses #glowkit #makeuprevolution #makeuplook #prettyface #eyeshadow #palettes #envywear #beautifuleyes #glitter #lashes"
31,"My growing stash of Creamy face cleansers, love them as a pre-face wash, these don't lather as much as a face wash but they are really good for melting/breaking down makeup and impurities 👌

Spot any fave/s?

cerave
tatcha 
pacificabeauty 
imageskincareuk 
trinnylondon 
environskincare 

#creamycleanser #facemakeup #makeupviral #viralmakeup #viralskincare #skincareblogger #skincareviral #pacificabeauty #tatchaskincare #imageskincare #trinnylondon #environskincare #cerave #exploreeverything #beautyskin #beauty #bbblogger #iblog #cultbeauty #sephorauk #sephora #Creamy #makeup #makeupcleanser"
32,"Smokey eye 🖤 
•
•
•

#brisbanemua #brisbanemakeupartist #makeupartistbrisbane #makeupartist #formalmakeup #goldcoastmakeupartist #makeup #mua #australianmakeupartist #smokeyeye #anastasiabeverlyhills #brisbane #brisbanemakeup #meccabeautyjunkie #bperfectcosmetics #freelancemakeupartist #makeupoftheday #ipswichmakeupartist #softglammakeup #promakeupartist #meccacosmetica #brisbaneformalmakeup #goldcoastmua #makeupinspo #qldmakeupartist #eventmakeup #fullglam"
33,"Bronz sevenlere 🤎

#mac #maccosmetics #krylonmakeup #tartecosmetics #sephoraturkiye #sephora #anastasiabeverlyhills #hudabeauty #glittereyeshadow #red #redgloss #makeupwedding #makeuplooks #bride #weddinginspiration #weeding  #bridemakeup #hennamakeup #glittereyeshadow #naturellook #kirpik #blush #bronzmakeup #bronzer
#kesfet #kesfetteyiz #keșfet #keşfetteyim #keşfettengelenlertakipetsin #reelsinstagram"
34,"Bridal makeup booking open for upcoming wedding season 
Call 📞 9113704880

#hajipurmakeupartist #makeupartist #bhfyp #makeupartist #skincare #mua #bride #lashes #makeuptutorial #hairstylist #glam #cosmetics #lipstick #makeupaddict #makeuplover #mac #hudabeauty #maquiagem #anastasiabeverlyhills #instamakeup #eyeshadow #wakeupandmakeup"
35,Beauty 😍 #hudabeauty #houda #sephora #anascosmetics #maccosmetic #dior #diorbeauty #morphe #lovemakeups #vegas_nay #slave2makeup #slave2beautyy #iraqi #iraqi_makeupartists #samerkhozami
36,"to 2023, the year of breaking patterns, changing the narrative, banking on myself and matching with my favourite idealofsweden phone cover🦚
#IDEALOFSWEDEN #idealxbrandbassador

You can use my code BBVW71LO at checkout to get 15% off your entire purchase at IDEAL OF SWEDEN👀"
37,"🥂

#pinkoutfit #tezza #utah #brunch #birthday #outfitinspo #ootd #zara #aminamuaddi #cheers #hudabeauty #sephora #rarebeauty #hairgoals"
38,"Do you like?

Follow-glamourfashion2023 

#lipstick #makeup #beauty #lips #eyeshadow #cosmetics #makeupartist #lipgloss #skincare #fashion #mua #makeuptutorial #eyeliner #makeuplover #makeupaddict #beautiful #instamakeup #lashes #foundation #love #mascara #lip #lipmatte #hudabeauty #lipstickaddict #eyes #eyebrows #like #cosmetic #makeuplooks"
39,"😌😍
MUA:- sonalprajapati4869 
.
Book us for your wedding 😊
Contact no.  9998850800 or DM us for more

#makeup #makeupartist #makeuptutorial #makeuptransformation #makeupideas #makebrasil #makeover #makeovercosmetics #hudabeauty #paccosmetics #paccosmeticsindia #maccosmetics #maccosmeticsindia #bobbybrown #reels #aesthetic #indian #indiangirls #traditional #traditionalmakeup #eyemakeup #eyeliner #eyemakeuptutoria"
40,"Playing with golden hour and supergoop sunscreen #supergoopgiftedme 

Glowscreen SPF 40 Sunrise ➡️ Glowscreen SPF 40 Golden Hour ➡️ Unseen Sunscreen SPF 40 

#sephora #supergoop sephora #artyszka #artyszkainnyc #agnesartych"
41,"Beautiful 💗💖 1 or 2? 
Follow: igtvmakeup for more 
Mua: whitneykshepherd"
42,"Super 👻natural👻 glam 🩵 Happy Friday! ✨️
•
👻 Earrings spirithalloween
👻 Choker killstar
•
✨️ makeupbymario Surreal Skin Foundation in 1C
✨️ plouise_makeup_academy 0.5 Base & Wild Walnut Lip Liner • Discount code ""sydneynicole10"" 💜
✨️ spookygirlcosmetics Lydia Deetz & Coraline Palettes, and Horror Bae Lashes
✨️ urbandecaycosmetics 24/7 Inks Liquid Liner in Zero & Quickie Concealer in 10NN & 20CP
✨️ hudabeauty hudabeautyshop Creamy Kohl Liner in Very Black & Easy Bake Setting Powder in Sugar Cookie
✨️ colourpopcosmetics Level Up Mascara, Pressed Powder Blush in Sassy Pants & Pressed Powder Highlight in Cold One • Discount code ""sydneynicole"" 💜
✨️ fentybeauty Velvet Liquid Lipstick in C Suite'Heart
•
#makeuplooks #makeupideas #everydaymakeup #dramaticmakeup #creativemakeup #urbandecay #ud247 #hudabeauty #colourpop #fentybeauty #makeupbymario #cutcrease #smokeyeye #goth #alt #altmakeup #gothmakeup #killstar #redhair #bangs #piercings"
43,"Keep it simple✨

#makeupartist #makeup #mua #makeuptutorial #beauty #makeuplover #makeupaddict #makeuplooks #makeupideas #fashion #love #photography #makeupoftheday #bridalmakeup #beautiful #wedding #model #makeuplook #instagood #instagram #hudabeauty #art #like #lashes #wakeupandmakeup #follow #anastasiabeverlyhills #skincare #makeupwedding #eyeshadow"
44,"Loving this style of liner! 

toofacedlovestheuk 
Born this way foundation 
Born this way concealer 

vievemuse 
Face dew 
Lip definer stupid cupid 
Lip dew cherub 

viseartofficial 
Petit fours praline eyeshadow palette 

urbandecayuki 
24/7glideoneyeliner 

maccosmeticsuk 
Highlighter 
Bronzer 

hourglasscosmetics 
Blusher 

maybelline 
The falsies push up drama mascara 

elfcosmeticsuk 
Eyebrow pencil 

#makeupoftheday #makeuptherapy #makeupmakesmefeelbetter #makeupaddict #makeuplover #nofilter #realskin #chronicpain 

#toofacedcosmetics #vieve #urbandecaycosmetics #elfcosmetics #maccosmetics #mnyitlook #hourglasscosmetics"
45,"Skinwork🥵❤️‍🔥 

#makeup #photoshoot #explorepage #bhfyp #makeupartist #skincare #mua #hairstyle #bride #modeling #lashes #makeuptutorial #cosmetics #lipstick #myself #makeupaddict #makeuplover #hudabeauty #maquiagem #make #anastasiabeverlyhills"
46,"Natural is ONE of my Specialties 😍
Dm to book a consultation/Session 
.
.
.
.
.

#makeup #makeupartist #westmanatelier #natural #naturalbeat #makeuptutorial #mua #makeuplover #makeupaddict #makeuplooks #beauty #makeupideas #makeupoftheday #eyeshadow #cosmetics #maquiagem #instamakeup #lipstick #makeupjunkie #makeuplife #hudabeauty #eyeliner #wakeupandmakeup #makeupbyme #lashes #make #anastasiabeverlyhills #eyemakeup #bridalmakeup #makeuptransformation"
47,"Really wanted to do a pastel rainbow look today for 
✨Sarah’s Soft Glam Sundays✨

Please follow me sstump1987 or #sarahssoftglamsundays to see more from me!

colourpopcosmetics 
Fade Into Hue palette, Tassel SSS, Luv That 4U PPS, Visuals creme gel liner, Monster SSH, Pretty Fresh foundation and concealer, Party Proof primer, and Flirt Alert blush 

blendbunnycosmetics 
Primal palette 

notoriouslymorbid 
Pretty Poison palette and Hiding in Normy Sight single shadow

mbacosmetics 
Rainbow Streamers and Mariana single shadows 

lagirlcosmetics 
Sunshine, Magic Mint, and Powder Blue eyeliner pencils

thebalm 
Bahama Mama bronzer

benefitcosmetics 
Fluff Up brow wax and Gimme Brow gel

toofaced 
My Type melted matte lipstick 

natashadenonabeauty 
Mauve lip gloss 

lauramercier 
Celestial Light Setting powder 

elfcosmetics 
Ultra Precise brow pencil 

anastasiabeverlyhills 
Lash Brag Mascara"
48,"Which one do you like most?💙😍
Follow us to see more

Follow👉beautydot2023 
Follow👉beautydot2023 
Follow👉beautydot2023 

#eyelook #makeup #eyeshadow #eyemakeup #makeupartist #beauty #mua #makeuplook #makeupideas #eyeliner #makeuplover #makeuptutorial #makeuplooks #makeupaddict #anastasiabeverlyhills #makeupoftheday #eyes #wakeupandmakeup #eyelashes #eyelooks #lashes #eye #motd #muas #creativemakeup #hudabeauty #undiscovered #glam #morphe #cutcrease"
49,"SMOCKEY Queen🤎
.
.
.
#makeup #makeupartist #makeupaddict #makeuplover #makeupinsta #makeuplook #makeuplooks #makeupslaves #makeupforever #makeupdolls #makeupgoals #makeupaddiction #makeupobsessed #makeupinspiration #doll #beautiful #lips #brows #hair #girl #makeupparty #makeupoftheday #mac #nyx #sephora #huda #anastasiabeverlyhills #black #blackmakeup #smockeyeyes"
50,"🧚Dabble tap plz💜

💮Follow beauty_hack3
💮Follow beauty_hack3
💮Follow beauty_hack3
💮Follow beauty_hack3

☑️Pic collected❗

#glitter #wakeupandmakeup #skincare #morphe #makeuplife #eyelashes #highlighter #maccosmetics #lipgloss #instagood #glam #motd #eye #concealer #eyeshadowlooks #like #photography #maquillaje #follow #eyeshadowtutorial #explorepage #blush #instagram #makeupbyme #cosmetic #muas #cutcrease #blusher #model #nyxcosmetics"
51,One of my favorite looks ever on xosierralisaxo 🥰⭐️ ✨ #beauty #mua #saturday #glam #lashes #softglam #march #bridalshower #love #bridal #acebeaute #narscosmetics #colourpop #diormakeup #charlottetilbury #makeupforever #anastasiabeverlyhills
52,"Flawless ❤️‍🔥

.

.
.

.
.

.
.

.

.
.

.
.

.
.

.
.

.

.
.
.

.
.
,
.
.
.
.

.

..
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#viral #explorepage #explorer #bestoftheday #best #pretty #prettygirls #baddest #styleinspiration #style #ebonyi #ebonyfitness #blackgirlmagic #blacklivesmatter #worldstar #world #instagramers #face #slayqueen #2023 #beautiful #girlsrock #hudabeauty #glamour #glam #tarte #melaninpoppin #melaninqueen #melaninbeauty #innerpeace"
53,"💙💙💙💙💙💙

Modelis : medeina_mia 

#smokeyeye #makeup #makeupartist #mua #beauty #makeuptutorial #makeuplooks #makeupideas #makeuplover #hudabeauty #maccosmetics #wakeupandmakeup #makeupaddict #eyeshadow #makeuplook #makeupoftheday #anastasiabeverlyhills #glam #lashes #glammakeup #bridalmakeup #smokeyeyes #eyemakeup #cutcrease #morphe #eyeliner #smoke #motd #muas #undiscoveredmuas"
54,"new products 🛒✨
.
.
.
.
#mac #maccosmetics #maccosmeticscz #makeup #makeupartist #makeupartist_skcz #mua #newproducts #black #blackaesthetic #aesthetic #followme"
